STORE,WF#,NAME OF STORE,ADDRESS,CITY,STATE,ZIP,PHONE #,GEO LOCATION
121,121,ShopRite of Rochelle Park,220 W. PASSAIC ST.,ROCHELLE PARK,NJ,7662,201-843-1424,"40.9150450,-74.0807950"
160,160,ShopRite of Paramus,224 RT. 4 E @ FOREST AVENUE,PARAMUS,NJ,7652,201-843-6616,"40.9154200,-74.0590200"
163,163,ShopRite of Clark,76 CENTRAL AVE.,CLARK,NJ,7066,732-381-7600,"40.6291200,-74.3053470"
164,164,ShopRite Linden,"637 W. EDGAR RD., AVIATION PLAZA",LINDEN,NJ,7036,908-523-0707,"40.6220480,-74.2445900"
169,169,ShopRite of Englewood,40 NATHANIEL PLACE,ENGELWOOD,NJ,7631,201-816-8330,"40.8966070,-73.9755460"
193,193,ShopRite of Marlboro Township,280 US HIGHWAY 9,MARLBORO,NJ,7751,732-617-0404,"40.3414760,-74.3053480"
207,207,ShopRite of West Caldwell,540 PASSAIC AVE.,WEST CALDWELL,NJ,7006,973-575-1770,"40.8481740,-74.2969460"
215,215,ShopRite of Brookdale,1409 BROAD ST.,BLOOMFIELD,NJ,7003,973-338-4141,"40.8375930,-74.1838570"
219,219,ShopRite of Pearl River,26 N. MIDDLETOWN RD.,PEARL RIVER,NY,10965,845-735-4871,"41.0607850,-74.0117230"
224,224,Shop Rite Mansfield,1965 RT. 57 WEST & ALLEN ST.,HACKETTSTOWN,NJ,7840,908-852-1200,"40.8240160,-74.8340210"
231,231,ShopRite of White Plains,13 CITY PLACE,WHITE PLAINS,NY,10601,914-539-4500,"41.0328030,-73.7646320"
235,235,ShopRite of Carmel,184 ROUTE 52,CARMEL,NY,10512,845-225-1011,"41.4635740,-73.6673970"
276,276,ShopRite of Thornwood,960 BROADWAY,THORNWOOD,NY,10594,914-747-1108,"41.1271260,-73.7795120"
287,287,ShopRite of Rockaway,437 ROUTE 46 EAST,ROCKAWAY,NJ,7866,973-366-3343,"40.8845560,-74.5362580"
294,294,ShopRite of Springfield,727 MORRIS TPKE.,SPRINGFIELD,NJ,7081,973-376-3028,"40.7190010,-74.3312620"
299,299,Shoprite Liquors of Neptune,2200 HIGHWAY 66,NEPTUNE,NJ,7753,732-775-4250,"40.2265850,-74.0411700"
315,315,ShopRite of Southington,750 QUEEN STREET,SOUTHINGTON ,CT,06489-1505,860-736-0044,"41.6372780,-72.8749380"
321,321,ShopRite of Wallingford,846 NORTH COLONY ROAD,WALLINGFORD,CT,06492-2410,203-626-7760,"41.4791940,-72.8092930"
355,355,ShopRite of Parsippany,808 ROUTE 46 WEST,PARSIPPANY,NJ,7054,973-335-2625,"40.8621800,-74.3751270"
389,389,ShopRite of Southbury,775 MAIN STREET SOUTH,SOUTHBURY,CT,06488-2271,203-262-1477,"41.4633110,-73.2318350"
392,392,ShopRite of Brookfield,143 FEDERAL RD.,BROOKFIELD,CT,6804,203-775-7078,"41.4375620,-73.4065880"
394,394,ShopRite of Norwalk,360 CONNECTICUT AVE.,NORWALK,CT,6850,203-838-0504,"41.1025030,-73.4394840"
397,397,"ShopRite of Commerce St.-Stamford, CT",1990 WEST MAIN ST.,STAMFORD,CT,6905,203-978-0464,"41.0473380,-73.5650010"
398,398,ShopRite of Shelton,875 BRIDGEPORT AVENUE,SHELTON,CT,06484-4621,203-225-9224,"41.2649350,-73.1346770"
399,399,ShopRite of Fairfield,1975 BLACK ROCK TURNPIKE,FAIRFIELD,CT,06825-3506,203-615-0140,"41.1807250,-73.2491990"
422,422,ShopRite of Brodheadsville,107 KINSLEY DRIVE,BRODHEADSVILLE,PA,18322,570-992-2666,"40.9199160,-75.4222840"
439,439,ShopRite of Warminster,942 WEST STREET ROAD,WARMINSTER,PA,18974,215-328-4700,"40.2095750,-75.1085970"
440,440,ShopRite of Knorr Street,6725 FRANKFORD AVE.,PHILADELPHIA,PA,19135,215-331-6030,"40.0315680,-75.0513170"
441,441,The Fresh Grocer of LaSalle,5301 CHEW AVE.,PHILADELPHIA,PA,19138-2803,877-452-7255,"40.0429800,-75.1598740"
466,466,ShopRite of Bound Brook,611 W. UNION AVENUE,BOUND BROOK,NJ,8805,732-302-9299,"40.5700120,-74.5529910"
470,470,ShopRite of Branchburg,3166 ROUTE 22,SOMERVILLE,NJ,8876,908-704-3378,"40.6044890,-74.6912590"
471,471,ShopRite of Brooklawn,RT. 130 & BROWNING RD.,BROOKLAWN,NJ,8030,856-742-8700,"39.8782020,-75.1149760"
487,487,ShopRite of Wharton,314 ROUTE 15,WHARTON,NJ,7885,973-361-8901,"40.9049490,-74.5703110"
497,497,ShopRite of Clinton NJ,50 WALMART PLAZA,CLINTON,NJ,8809,908-730-6800,"40.6367680,-74.9098900"
500,500,ShopRite of Lawrenceville,3373 BRUNSWICK PIKE,LAWRENCEVILLE,NJ,8648,609-275-8555,"40.2641360,-74.7172770"
506,506,ShopRite of East Windsor,319 ROUTE 130,HIGHTSTOWN,NJ,8520,609-448-1040,"40.2774390,-74.5337730"
507,507,ShopRite of Chews Landing,1200 CHEWS LANDING RD.,LAUREL SPRINGS,NJ,8021,856-435-0880,"39.8184650,-75.0380140"
508,508,ShopRite of Sicklerville,542 BERLIN-CROSS KEYS RD.,SICKLERVILLE,NJ,8081,856-262-0411,"39.7527570,-74.9848890"
515,515,ShopRite of Mount Laurel at Ark Road,127 ARK ROAD,MT. LAUREL,NJ,8054,856-359-2180,"39.9721510,-74.8710210"
516,516,ShopRite of Hainesport,1520 RT. 38 - EAST,HAINESPORT,NJ,8036,609-518-5200,"39.9806300,-74.8074650"
517,517,ShopRite of Delran,1310 FAIRVIEW BLVD.,DELRAN ,NJ,8075,856-824-1100,"40.0183090,-74.9441610"
518,518,Cinnaminson Shoprite,141 ROUTE 130 SOUTH - SUITE K,CINNAMINSON,NJ,8077,856-303-7676,"39.9883170,-75.0094790"
521,521,Saker Shoprites Inc,130 MARKETPLACE BLVD.,ROBBINSVILLE,NJ,8691,609-581-5823,"40.1921970,-74.6422680"
522,522,ShopRite of Woodbridge,877 ST. GEORGE AVE.,WOODBRIDGE,NJ,7095,732-636-3500,"40.5694290,-74.2908910"
524,524,ShopRite of North Brunswick,400 RENAISSANCE BLVD. & RT. 130 S. ,N. BRUNSWICK,NJ,8902,732-940-3112,"40.4345280,-74.4869500"
529,529,ShopRite of Evesham Road,400 E. EVESHAM RD.,CHERRY HILL,NJ,8003,856-216-1400,"39.8617940,-74.9729330"
533,533,ShopRite of Pennington,2555 PENNINGTON RD.,PENNINGTON,NJ,8638,609-882-0711,"40.3061200,-74.7866190"
534,534,ShopRite of Lawnside,130 N. WHITE HORSE PIKE,LAWNSIDE,NJ,8045,856-547-2590,"39.8667870,-75.0393370"
538,538,ShopRite of 1st State Plaza,1600 W. NEWPORT PIKE,WILMINGTON,DE,19804,302-999-1227,"39.7152390,-75.6268540"
540,540,ShopRite of Medford,208 ROUTE 70,MEDFORD,NJ,8055,609-953-7700,"39.9052630,-74.8190890"
545,545,ShopRite of Forest Hill,2101 ROCK SPRING ROAD,FOREST HILL,MD,21050,410-420-8220,"39.5750320,-76.3849690"
548,548,"ShopRite of Aberdeen, MD",949 BEARD'S HILL ROAD,ABERDEEN,MD,21001,410-272-3100,"39.5239340,-76.1840060"
549,549,ShopRite of Festival,5 BEL AIR SOUTH PARKWAY,BEL AIR,MD,21014,410-569-0939,"39.4938740,-76.3243100"
552,552,ShopRite of Piscataway,1306 CENTENNIAL AVE.,PISCATAWAY,NJ,8854,732-981-9111,"40.5515580,-74.4427800"
553,553,ShopRite of Ernston Road,2909 WASHINGTON RD.,PARLIN,NJ,8859,732-525-8282,"40.4674510,-74.3128680"
554,554,ShopRite of Glassboro,201 WILLIAM L. DALTON DR.,GLASSBORO,NJ,8028,856-863-3700,"39.7202250,-75.1090320"
555,555,ShopRite of Cardiff,1606 DOOLEY ROAD,CARDIFF,MD,21160,410-452-5980,"39.7202560,-76.3424230"
558,558,ShopRite of Brandywine Commons,1300 ROCKY RUN PARKWAY,WILMINGTON,DE,19803,302-477-3270,"39.8248720,-75.5483190"
563,563,ShopRite of Jacksonville,14330 JARRETTSVILLE PIKE,PHOENIX,MD,21131,410-666-3500,"39.5202920,-76.5602030"
580,580,ShopRite of Newark,19 CHESTNUT HILL PLAZA,NEWARK,DE,19713,302-292-1220,"39.6620920,-75.7259440"
585,585,ShopRite of East Brunswick,14-22 W. PROSPECT ST. ,E. BRUNSWICK,NJ,8816,732-257-7575,"40.4551440,-74.3944120"
588,588,ShopRite of Governor's Square,1101 GOVERNORS PLACE,BEAR,DE,19701-6024,302-392-2900,"39.6318670,-75.6647760"
589,589,ShopRite of Christina Crossing,501 S. WALNUT STREET,WILMINGTON,DE,19801,302-225-6900,"39.7312830,-75.5547040"
590,590,ShopRite of Four Seasons,700 PLAZA DRIVE,NEWARK,DE,19702-6370,302-525-8855,"39.6269730,-75.7464430"
607,607,ShopRite of Freehold,SOUTH ST. & RT. #9,FREEHOLD,NJ,7728,732-462-3120,"40.2400270,-74.2758990"
617,617,ShopRite of Montgomery Township,1325 US HIGHWAY 206 NORTH,MONTGOMERY TWSP,NJ,8558,609-279-9800,"40.4049540,-74.6493740"
623,623,ShopRite of West Long Branch,RT. 36 & 71,W. LONG BRANCH,NJ,7764,732-542-5222,"40.2953500,-74.0289990"
626,626,ShopRite of Hazlet,3120 STATE HWY 35,HAZLET,NJ,7730,732-264-4110,"40.4206470,-74.1839590"
630,630,Shop Rite Pharmacy,2433 HIGHWAY 34,MANASQUAN,NJ,8736,732-292-9780,"40.1209100,-74.0799760"
633,633,ShopRite of Absecon,616 WHITE HORSE PIKE,ABSECON,NJ,8201,609-646-2448,"39.4331860,-74.5111960"
641,641,ShopRite of Brick Town 641,668 RT. 70,BRICKTOWN,NJ,8723,732-477-7906,"40.0595270,-74.1426160"
649,649,ShopRite of Manahawkin,295 ROUTE 72 EAST,MANAHAWKIN,NJ,8050,609-597-0091,"39.6977670,-74.2653000"
655,655,ShopRite of Lacey Township,RT. 9 & FIRST ST.,LANOKA HARBOR,NJ,8734,609-693-1152,"39.8525620,-74.1818700"
656,656,ShopRite of Fischer Bay,860 FISCHER BLVD.,TOMS RIVER,NJ,8753,732-270-8833,"39.9696140,-74.1339530"
659,659,"ShopRite of Manchester, NJ",1001 RT. 70 WEST,LAKEHURST,NJ,8733,732-657-0700,"40.0150580,-74.2957600"
663,663,ShopRite of Bayville,431 ATLANTIC CITY BLVD,BAYVILLE,NJ,8721,732-606-0800,"39.9126340,-74.1530840"
665,665,ShopRite of Waretown,501 ROUTE 9 IN THE TOWNE CENTER,WARETOWN,NJ,8758,609-971-6001,"39.7915080,-74.1951390"
800,800,ShopRite of Plainview - Woodbury Rd,444 WOODBURY ROAD,PLAINVIEW,NY,11803,516-938-0240,"40.7857640,-73.5011550"
806,806,ShopRite of Commack,1 GARET PLACE,COMMACK,NY,11725,631-864-2224,"40.8077210,-73.2888590"
808,808,ShopRite of Selden,71 COLLEGE PLAZA,SELDEN,NY,11784-2038,631-561-6050,"40.8569880,-73.0465350"
811,811,ShopRite of Patchogue,95 SUNRISE HIGHWAY,PATCHOGUE,NY,11772,631-286-5000,"40.7782620,-73.0252520"
831,831,ShopRite of Hauppauge,335 NESCONSET HWY (RT. 347),HAUPPAUGE,NY,11788,631-979-0110,"40.8399950,-73.1792380"
,,Balducci's Food Lover's Market - Greenwich,1050 East Putnam Avenue,Greenwich,CT,6878,203-637-7600,"41.0415310, -73.5868170"
,,Balducci's Food Lover's Market - Westport,1385 Post Road East,Westport,CT,6880,203-254-5200,"41.1390030, -73.3162020"
,,Balducci's Food Lover's Market - Bethesda,10323 Old Georgetown Road,Bethesda,MD,20814,301-564-3100,"39.0251100, -77.1244830"
,,Balducci's Food Lover's Market - Scarsdale,15 Palmer Avenue,Scarsdale,NY,10583,914-722-0200,"40.9851290, -73.7748070"
,,Balducci's Food Lover's Market - Alexandria,600 Franklin Street,Alexandria,VA,22314,703-549-6611,"38.7978590, -77.0481310"
,,Balducci's Food Lover's Market - McLean,6655 Old Dominion Drive,McLean,VA,22101,703-448-3828,"38.9309090, -77.1748510"
,,Balducci's Gourmet on the Go - New York City,301 West 56th St and 8th Avenue,New York,NY,10019,646-350-4194,"40.7660500, -73.9833660"
,,Balducci's Gourmet on the Go - Baltimore,1800 Orleans St,Baltimore,MD,21287,443-687-7659,"39.2961670, -76.5919370"
,,Balducci's Express Locations - JFK Airport,"Terminal 7, British Airlines",New York,NY,11430,718-553-6815,"40.6413111, -73.7781391"
,,Hannaford DOVER,833 CENTRAL AVE,DOVER,NH,3820,603-749-9232,"43.2172420, -70.8782210"
,,Hannaford GLENS FALLS,175 BROAD ST,GLENS FALLS,NY,12801,518-793-0028,"43.3042100, -73.6622820"
,,Hannaford RED HOOK,35 HANNAFORD DRIV,RED HOOK,NY,12571 - 1624,845-758-9330,"41.9794470, -73.8808960"
,,Hannaford GLENVILLE,262 SARATOGA RD,GLENVILLE,NY,12302,518-384-0156,"42.8699890, -73.9305710"
,,Hannaford GLOVERSVILLE,235 FIFTH AVE EXT,GLOVERSVILLE,NY,12078,518-725-0847,"43.0593680, -74.3247720"
,,Hannaford SOUTH GLENS FALLS,27-41 GANSEVOORT,SOUTH GLENS FALLS,NY,12803,518-798-7991,"43.2860970, -73.6383060"
,,Hannaford EASTON,25 ROBERT DRIVE,EASTON,MA,2375,508-238-6305,"42.0251340, -71.1413830"
,,Hannaford TAUNTON,255 JOSEPH E. WARNER,TAUNTON,MA,2780,508-828-3940,"41.8862380, -71.1216070"
,,Hannaford YORK,5 HANNAFORD DRIVE,YORK,ME,3909,207-363-5357,"43.1507200, -70.6724390"
,,Hannaford ATHOL,150 NEW ATHOL RD,ATHOL,MA,1331,978-249-7955,"42.5815900, -72.2623170"
,,Hannaford LATHAM,579 TROY SCHENECT,LATHAM,NY,12110,518-782-1750,"42.7572020, -73.7612880"
,,Hannaford SOUTH PORTLAND,HANNAFORD PLAZA,SOUTH PORTLAND,ME,4106,207-761-2729,"43.6343426, -70.3285091"
,,Hannaford LUNENBURG,333 MASS AVENUE,LUNENBURG,MA,1462,978-582-0215,"42.5959330, -71.7576480"
,,Hannaford WELLS,RR 3 BOX 422-2,WELLS,ME,4090,207-646-4111,"43.3222329, -70.5805209"
,,Hannaford SANFORD,800 MAIN ST.,SANFORD,ME,4073,207-324-1554,"43.4449810, -70.7827820"
,,Hannaford SARATOGA SPRINGS,95 WEIBEL AVE,SARATOGA SPRINGS,NY,12866,518-587-0360,"43.0968290, -73.7470990"
,,Hannaford WYNANTSKILL,40 MAIN STREET,WYNANTSKILL,NY,12198,518-283-0538,"42.6974950, -73.6499010"
,,Hannaford ALTAMONT,5239 WESTERN TRNP,ALTAMONT,NY,12009,518-355-5814,"42.7165200, -73.9333190"
,,Hannaford BALLSTON SPA,11 TRIEBLE AVE,BALLSTON SPA,NY,12020,518-885-6384,"43.0475450, -73.8525540"
,,Hannaford HUDSON FALLS,3758 BURGOYNE AVE,HUDSON FALLS,NY,12839,518-746-2040,"43.3200310, -73.5707360"
,,Hannaford NISKAYUNA,3333 CONSAUL RD,NISKAYUNA,NY,12309,518-395-9497,"42.7831810, -73.8912960"
,,Hannaford BRATTLEBORO,896 PUTNEY RD,BRATTLEBORO,VT,5301,802-254-1160,"42.8794430, -72.5611550"
,,Hannaford WILLISTON,78 MARSHALL AVENU,WILLISTON,VT,5495,802-878-0032,"44.4459290, -73.1136310"
,,Hannaford GILFORD,1425 LAKE SHORE R,GILFORD,NH,3249,603-524-4629,"43.5617060, -71.4438780"
,,Hannaford KENNEBUNK,65 PORTLAND ROAD,KENNEBUNK,ME,4043,207-985-9135,"43.3972160, -70.5286370"
,,Hannaford SWANTON,139 FIRST STREET,SWANTON,VT,5488,802-868-2637,"44.9226450, -73.1113990"
,,Hannaford BRANDON,71 SUPERMARKET DR,BRANDON,VT,5733,802-247-4113,"43.7971860, -73.0894070"
,,Hannaford LAKE PLACID,45 HADJIS WAY,LAKE PLACID,NY,12946,518-523-3279,"44.2970720, -74.0002790"
,,Hannaford CAIRO,233 MAIN STREET,CAIRO,NY,12413,518-622-8130,"42.2944680, -73.9916820"
,,Hannaford LIVINGSTON,32 STATE ROUTE 82,LIVINGSTON,NY,12541,518-851-2098,"42.1742280, -73.7593600"
,,Hannaford HAMPDEN,77 WESTERN AVE,HAMPDEN,ME,4444,207-862-5444,"44.7436490, -68.8451940"
,,Hannaford BRADFORD,586 LOWER PLAIN,BRADFORD,VT,5033,802-222-3370,"43.9843330, -72.1229180"
,,Hannaford WALDEN,78 OAK STREET,WALDEN,NY,12586,845-778-2220,"41.5639100, -74.1918190"
,,Hannaford TURNER,23 SNELL HILL ROA,TURNER,ME,4282,207-225-5140,"44.2507160, -70.2613790"
,,Hannaford EXETER,141 PORTSMOUTH AV,EXETER,NH,3833,603-772-1783,"42.9898230, -70.9319190"
,,Price Chopper Pittsfield,555 Hubbard Ave, Pittsfield,MA,1201,413-442-7696,"42.4647700, -73.1977500"
,,Price Chopper Gt. Barrington,300 Stockbridge Rd, Gt Barrinton,MA,1230,413-528-8415,"42.2077720, -73.3462500"
,,Price Chopper Lee,88 West Park St, Lee,MA,1238,413-243-2238,"42.3046910, -73.2503820"
,,Price Chopper Lenox ,495 Pittsfield Road Lenox,Lenox,MA,1240,413-881-0075,"42.4061040, -73.2662120"
,,Price Chopper North Adams,245 State Rd, North Adams,MA,1247,413-663-9415,"42.6990550, -73.1430890"
,,Price Chopper Gardner,560 Main St.  ,Gardner,MA,1440,978-730-1040,"42.5688690, -71.9847390"
,,Price Chopper Shrewsbury ,731 Boston Turnpike, Shrewsbury,MA,1545,508-791-7142,"42.2783730, -71.6962900"
,,Price Chopper Spencer,133 Main St  Spencer Shopping Village, Spencer,MA,1562,508-885-3199,"42.2447620, -71.9933330"
,,Price Chopper Webster ,2 Worcester Road, Webster,MA,1570,508-943-7232,"42.0611190, -71.8630960"
,,Price Chopper Main &Cambridge,50 Cambridge St, Worcester,MA,1603,508-363-4870,"42.2429320, -71.8297500"
,,Price Chopper Sunderland Rd,29 Sunderland Rd, Worcester,MA,1604,508-752-7061,"42.2470940, -71.7723930"
,,Price Chopper Mountain St,72 Pullman St, Worcester,MA,1606,508-854-8474,"42.3231170, -71.7972320"
,,Price Chopper Park Avenue,221-223 Park Ave, Worcester,MA,1609,508-798-5178,"42.2709810, -71.8151000"
,,Price Chopper Worcester Fair,564 S.W. Cutoff, Worcester,MA,1610,508-752-3737,"42.2135680, -71.7984120"
,,Price Chopper Hopkinton,167 West Main Street, Hopkinton,MA,1748,508-625-3263,"42.2093380, -71.5521140"
,,Price Chopper Marlborough,240 East Main St, Marlborough,MA,1752,508-480-0109,"42.3532170, -71.5345360"
,,Price Chopper Lincoln,10 Lumberyard Drive, Lincoln,NH,3251,603-745-3969,"44.0415040, -71.6712900"
,,Price Chopper Keene,16 Ashbrook Rd, Keene,NH,3431,603-352-0957,"42.9264990, -72.3070550"
,,Price Chopper Lebanon,370 Miracle Mile Rd, Lebanon,NH,3766,603-448-3970,"43.6227722, -72.3138748"
,,Price Chopper West Lebanon,285 Plainfield Rd, West Lebanon,NH,3784,603-298-9670,"43.6238360, -72.3232770"
,,"Price Chopper Windsor, VT",2725 US Rte 5 North, Windsor,VT,5089,802-674-3470,"43.4863040, -72.3845270"
,,Price Chopper Bennington,214 Northside Dr, Bennington,VT,5201,802-447-9940,"42.8985410, -73.2127050"
,,Price Chopper Manchester,263 Depot St  Suite 1, Manchester,VT,5255,802-362-9896,"43.1757920, -73.0523500"
,,Price Chopper Brattleboro,499 Canal St  Unit 2, Brattleboro,VT,5301,802-254-3424,"42.8391870, -72.5668530"
,,Price Chopper Shelburne Rd,595 Shelburne Rd, Burlington,VT,5401,802-651-9826,"44.4494210, -73.2109290"
,,Price Chopper South Burlington,"41 Hinesburg Rd,  Commerce Sq Shopping Ctr", S Burlington,VT,5403,802-864-9176,"44.465757, -73.17217"
,,Price Chopper Colchester,1184 Prim Road, Colchester,VT,5446,802-651-9409,"44.5378050, -73.2474010"
,,Price Chopper Essex Junction,90 Center Rd, Essex Junction,VT,5452,802-878-5163,"44.5117970, -73.0656520"
,,Price Chopper St Albans,170 Swanton Rd, St Albans,VT,5478,802-524-2033,"44.8355500, -73.0840020"
,,Price Chopper Barre,168 Ames Drive Suite 1, Barre,VT,5641,802-479-9078,"44.2238640, -72.5470580"
,,Price Chopper Morrisville,370 Munson Ave, Morrisville,VT,5661,802-888-1220,"44.5729240, -72.5894500"
,,Price Chopper Rutland Plaza,38 Rutland Shopping Plaza, Rutland,VT,5701,802-747-7880,"43.6038470, -72.9784270"
,,Price Chopper West Rutland,100 Westway Mall Drive  PO Box 68, West Rutland,VT,5777,802-438-6119,"43.5922030, -73.0427620"
,,Price Chopper St. Johnsbury,857 Memorial Drive, St Johnsbury,VT,5819,802-748-1109,"44.4446250, -72.0166990"
,,Price Chopper Derby,56 Commons Dr, Derby,VT,5829,802-334-1475,"44.9540850, -72.1609450"
,,Price Chopper Bristol,121 Farmington Ave, Bristol,CT,6010,860-582-2876,"41.6858840, -72.9404200"
,,Price Chopper Vernon,"35 Talcottville Rd, Tri-City Shop Center", Vernon,CT,6066,860-875-1211,"41.8272990, -72.4984290"
,,"Price Chopper Windsor, CT",675 Poquonock Ave, Windsor,CT,6095,860-687-1411,"41.8735180, -72.6621500"
,,Price Chopper Newington,2985 Berlin Turnpike, Newington,CT,6111,860-665-8342,"41.6684860, -72.7215090"
,,Price Chopper Putnam,"251 Kennedy Dr,  Suite A", Putnam,CT,6260,860-928-3030,"41.9191680, -71.9066910"
,,"Price Chopper Middletown, CT",855 Washington St, Middletown,CT,6457,860-740-7700,"41.5543440, -72.6811570"
,,"Price Chopper Storrs, CT",1220 Storrs Road , Mansfield,CT,6468,860-553-6555,"41.8050180, -72.2442390"
,,Price Chopper Southington,410 Queen St, Southington,CT,6489,860-621-2128,"41.6274890, -72.8757080"
,,Price Chopper Torrington,990 Torringford St, Torrington,CT,6790,860-496-5051,"41.8206370, -73.0809870"
,,Price Chopper Middletown,511 Schutt Rd Ext, Middletown,NY,10940,845-344-0300,"41.4459270, -74.4229340"
,,Price Chopper Warwick,142 State Highway 94, Warwick,NY,10990,845-987-6333,"41.2375190, -74.3827270"
,,Price Chopper Amsterdam,141 Sanford Farms Plaza, Amsterdam,NY,12010,518-843-0056,"42.9635350, -74.1838810"
,,Price Chopper Malta,1 Kendall Way, Malta,NY,12020,518-899-2438,"42.9736490, -73.7951210"
,,Price Chopper Chatham (New),2614 Rt. 66  ,Ghent,NY,12034,518-392-9007,"42.3331360, -73.6113950"
,,Price Chopper Cobleskill,105 Plaza Lane, Cobleskill,NY,12043,518-234-7845,"42.6815010, -74.4710350"
,,Price Chopper Cohoes,240 Congress St, Cohoes,NY,12047,518-237-6050,"42.7652290, -73.7006550"
